CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,BalanceSalaryRatio,TenureAgeRatio,IsSenior,CreditScoreBucket,ProductsPerBalance,IsLowCredit,HighBalance,AgeBucket
619,France,Female,42,2,0.0,1,1,1,101348.88,1,0.0,0.0476190464852608,0,medium,1.0,0,0,"(30, 45]"
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,0.7446769036151057,0.024390243307555043,0,medium,1.1931912687990268e-05,0,0,"(30, 45]"
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,1.4013745268199027,0.1904761859410432,0,medium,1.8789716763809505e-05,1,1,"(30, 45]"
699,France,Female,39,1,0.0,2,0,0,93826.63,0,0.0,0.025641024983563465,0,good,2.0,0,0,"(30, 45]"
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,1.5870550464431277,0.04651162682531101,0,excellent,7.967377096436017e-06,0,1,"(30, 45]"
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,0.7596038935366596,0.18181817768595052,0,medium,1.758136965550537e-05,0,1,"(30, 45]"
822,France,Male,50,7,0.0,2,1,1,10062.8,0,0.0,0.13999999720000006,1,excellent,2.0,0,0,"(45, 60]"
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,0.9639693974323924,0.13793102972651622,0,low,3.47681753678951e-05,1,1,"(0, 30]"
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,1.8955180442898634,0.09090908884297526,0,medium,1.4079344285514459e-05,1,1,"(30, 45]"
684,France,Male,27,2,134603.88,1,1,1,71725.73,0,1.876647055361073,0.07407407133058995,0,good,7.429151157075434e-06,0,1,"(0, 30]"
528,France,Male,31,6,102016.72,2,0,0,80181.12,0,1.2723284483769706,0.19354838085327802,0,medium,1.9604437346766818e-05,1,1,"(30, 45]"
497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0.0,0.12499999479166687,0,low,2.0,1,0,"(0, 30]"
476,France,Female,34,10,0.0,2,1,0,26260.98,0,0.0,0.2941176384083048,0,low,2.0,1,0,"(30, 45]"
549,France,Female,25,5,0.0,2,0,0,190857.79,0,0.0,0.19999999200000032,0,medium,2.0,1,0,"(0, 30]"
635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0.0,0.19999999428571447,0,medium,2.0,0,0,"(30, 45]"
616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,2.2250195328974836,0.06666666518518523,1,medium,1.3973270949199405e-05,0,1,"(30, 45]"
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,26.012448819556298,0.017241379013079674,1,good,7.541257465467828e-06,0,1,"(45, 60]"
549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0.0,0.37499998437500065,0,medium,2.0,1,0,"(0, 30]"
587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0.0,0.13333333037037046,1,medium,1.0,1,0,"(30, 45]"
726,France,Female,24,6,0.0,2,1,1,54724.03,0,0.0,0.24999998958333375,0,good,2.0,0,0,"(0, 30]"
732,France,Male,41,8,0.0,2,1,1,170886.17,0,0.0,0.19512194646044034,0,good,2.0,0,0,"(30, 45]"
636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0.0,0.24999999218750027,0,medium,2.0,0,0,"(30, 45]"
510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,0.0,0.10526315512465383,0,medium,1.0,1,0,"(30, 45]"
669,France,Male,46,3,0.0,2,0,1,8487.75,0,0.0,0.06521738988657848,1,good,2.0,0,0,"(45, 60]"
846,France,Female,38,5,0.0,1,1,1,187616.16,0,0.0,0.13157894390581729,0,excellent,1.0,0,0,"(30, 45]"
577,France,Male,25,3,0.0,2,0,1,124508.29,0,0.0,0.11999999520000018,0,medium,2.0,1,0,"(0, 30]"
